"SitID","DEPT","DPHI","GR","ILD","NPHI","HorID"
117821,199,0.314,76.018,12.759,0.374,5000
117821,203,0.3,57.337,7.85,0.456,7000
117821,207,0.33,69.953,12.118,0.359,9000
117821,207,0.33,69.953,12.118,0.359,9500
117821,209,0.311,61.21,12.414,0.328,10000
117821,216,0.336,35.745,30.593,0.21,11000
117821,220.5,0.283,39.393,17.84,0.318,12000
117821,220.5,0.283,39.393,17.84,0.318,13000
117821,235,0.012,19.814,58.081,0.064,14000
107548,381,0.301,78.375,3.631,0.465,1000
107548,542.5,0.134,67.702,12.001,0.363,4000
107548,568,0.426,71.481,1.856,0.524,7000
107548,572,0.065,76.794,5.902,0.332,9000
107548,572,0.065,76.794,5.902,0.332,9500
107548,576.5,0.11,77.622,10.431,0.356,14000
142543,163,0.231,104.71,5.191,0.461,1000
142543,301,0.265,96.677,4.247,0.481,5000
142543,315,0.267,89.413,4.023,0.453,7000
142543,319,0.238,97.123,3.995,0.423,9000
142543,319,0.238,97.123,3.995,0.423,9500
142543,321.5,0.242,93.533,3.803,0.436,10000
142543,327,0.278,89.501,5.535,0.413,11000
142543,327,0.278,89.501,5.535,0.413,12000
142543,327,0.278,89.501,5.535,0.413,13000
142543,399,0,80.83,8.834,0.279,14000
164144,292,0.275,81.295,4.452,0.438,1000
164144,443,0.283,69.945,5.966,0.423,5000
164144,458,0.241,107.858,3.591,0.546,7000
164144,462.5,0.154,92.051,7.675,0.403,9000
164144,462.5,0.154,92.051,7.675,0.403,9500
164144,469,0.21,80.834,11.873,0.359,10000
164144,475,0.268,107.633,18.06,0.351,11000
164144,475,0.268,107.633,18.06,0.351,12000
164144,475,0.268,107.633,18.06,0.351,13000
113051,263,0.3,71.248,8.838,0.467,1000
113051,401,0.291,81.089,4.843,0.493,5000
113051,412,0.296,77.812,2.652,0.574,7000
113051,415,0.278,86.139,5.62,0.463,9000
113051,415,0.278,86.139,5.62,0.463,9500
113051,418,0.285,96.879,3.275,0.475,10000
113051,421,0.219,85.111,5.121,0.419,11000
113051,422,0.239,96.688,5.432,0.47,12000
113051,422,0.239,96.688,5.432,0.47,13000
113051,479,0.338,49.124,21.95,0.435,14000
107236,316,0.259,88.599,3.985,0.432,1000
107236,441,0.218,101.43,2.753,0.493,5000
107236,453.5,0.191,93.217,2.88,0.49,7000
107236,458,0.15,71.318,6.011,0.39,9000
107236,462,0.194,99.631,4.024,0.434,9500
107236,464,0.164,98.971,3.354,0.451,10000
107236,471,0.206,87.284,8.169,0.352,11000
107236,471,0.206,87.284,8.169,0.352,12000
107236,471,0.206,87.284,8.169,0.352,13000
107236,494,0.143,112.645,7.249,0.38,14000
163993,445,0.326,51.755,3.29,0.45,1000
163993,618,0.154,104.206,5.431,0.376,5000
163993,629.5,0.142,87.069,2.303,0.409,7000
163993,634,0.282,32.32,3.235,0.349,9000
163993,634,0.282,32.32,3.235,0.349,9500
163993,642,0.191,44.178,3.125,0.299,10000
163993,642,0.191,44.178,3.125,0.299,11000
163993,642,0.191,44.178,3.125,0.299,12000
163993,642,0.191,44.178,3.125,0.299,13000
163993,649,0.077,119.643,4.767,0.366,14000
102630,375,0.091,96.394,4.265,0.226,1000
102630,496.5,0.201,106.135,2.217,0.391,5000
102630,516.5,0.195,90.001,3.256,0.364,7000
102630,523,0.177,113.74,3.003,0.38,9000
102630,523,0.177,113.74,3.003,0.38,9500
102630,527.5,0.19,124.243,2.874,0.364,10000
102630,531,0.153,110.74,4.34,0.317,11000
102630,531,0.153,110.74,4.34,0.317,12000
102630,531,0.153,110.74,4.34,0.317,13000
102630,562,0.108,95.954,6.212,0.257,14000
105821,514,0.226,115.879,2.695,0.526,4000
105821,550,0.168,96.469,5.294,0.381,5000
105821,565,0.068,90.636,4.711,0.347,7000
105821,572,0.137,107.621,4.407,0.433,9000
105821,572,0.137,107.621,4.407,0.433,9500
105821,574,0.097,110.915,5.294,0.371,10000
